Id,preco
0,1086092.1289916404
1,278688.2891859165
2,536746.8918255783
3,374359.3666271776
4,421003.803052264
5,240717.02136217558
6,744000.1686021463
7,406079.9570720374
8,354606.04670431354
9,1520217.7842357045
10,684605.8250809691
11,640854.3549972699
12,1176938.8385278527
13,389674.3680190625
14,827196.8763526627
15,532535.6530586178
16,356676.7573013589
17,329617.4810676387
18,364399.1056009718
19,1299780.0838932602
20,681541.4379347577
21,371256.6269129831
22,356347.03003911686
23,387775.32993059
24,303462.700645683
25,359945.2775312111
26,676283.2531973402
27,572994.0598718778
28,1119560.838305597
29,762837.8418783849
30,368843.99836564617
31,2097135.9913048928
32,1692321.3748614786
33,1957061.7983416033
34,1443304.176092299
35,398960.632839077
36,468365.35036721645
37,2083064.1777320765
38,469251.74423878046
39,418775.50068349834
40,2655530.6106617562
41,1065509.4834657519
42,403105.8012086007
43,1317688.256373199
44,1134461.460011266
45,224964.85035391533
46,2001030.1045337163
47,538994.6819717947
48,330253.3769965226
49,372319.88118639786
50,333117.99712981057
51,382267.7641287686
52,650379.7375598942
53,950233.5232712285
54,777425.7033775089
55,414697.6519997414
56,507811.02063417074
57,396367.80358800536
58,922903.6316278127
59,2731389.102952562
60,1617466.8577603297
61,577224.1468265259
62,846116.4328201372
63,2411430.185105961
64,414697.6519997414
65,411677.8970517379
66,522475.34401742986
67,1023884.6751366036
68,878861.3410357366
69,313500.7171146065
70,2615982.055549696
71,328437.26719811116
72,540481.6533719271
73,598806.2349806431
74,277203.87209774426
75,1974426.1782599967
76,297880.32008545176
77,377305.8766023609
78,282930.9924381204
79,458547.21016081225
80,536495.6635500543
81,447581.3864783792
82,390594.81351339875
83,1377045.712067133
84,2182134.9591006027
85,412392.39551367617
86,410521.242304704
87,748000.1675055062
88,408124.7666134347
89,362973.1359256679
90,572437.4373176292
91,773105.9155760525
92,276431.3836968759
93,349410.33798411174
94,225827.97200072886
95,1034870.2185950041
96,1173906.1502002426
97,2523524.8025844838
98,380436.9852982038
99,504654.4096063525
100,591231.6992199975
101,438245.2456602557
102,1877587.2833888717
103,595257.9006106515
104,487269.46392656246
105,570300.5326659698
106,807861.1505707549
107,874087.5591131686
108,155299.07893743197
109,533731.2167591183
110,322810.6549307168
111,894720.3095401326
112,430975.63692831225
113,418077.2292301659
114,913517.6699066205
115,367488.1509786306
116,549079.3476248736
117,2227735.157117574
118,836588.4315101105
119,313300.965507909
120,3998373.1756478245
121,-341.536268576483
122,294311.28737210995
123,346101.9370821049
124,311081.40344976453
125,752648.6318646967
126,352100.03957452666
127,1582868.2466775393
128,354123.92298610223
129,1370333.0936876808
130,1154620.1253125095
131,2978763.6581172957
132,850288.9862161897
133,2112451.432318482
134,1390477.6677237274
135,541121.3583992159
136,430508.68787362776
137,2105350.5731692477
138,1152250.1637494706
139,432284.8481586681
140,1703798.5009991254
141,412685.0285198117
142,472388.0539053605
143,1110357.1828968725
144,476925.5896927139
145,515109.0635157929
146,275794.1807627411
147,2127478.689701644
148,556871.7729918312
149,1015728.2536108675
150,460849.1021620487
151,668958.809441905
152,673270.5233708491
153,840797.5999928564
154,444376.6809562402
155,689303.5652562757
156,531913.5495713474
157,385334.59017247404
158,633624.9772377668
159,2239108.6149402168
160,1842985.2205591016
161,428326.2803915983
162,1313511.6138744536
163,481748.0672603343
164,360055.7378123295
165,344822.2428810309
166,625118.2300668547
167,651820.3580332896
168,409878.36781203025
169,1085634.1597168006
170,593946.0668066124
171,450638.72604340455
172,644145.9410671656
173,684462.8541566523
174,551222.2112950304
175,2803748.296138981
176,831960.0021949349
177,329561.1775259571
178,996373.7817057131
179,369048.24330342666
180,743260.1180497053
181,379860.96049411956
182,1830509.5757355918
183,487608.4236313106
184,704849.2355015678
185,426066.22805637337
186,527392.4383560286
187,520342.63285818126
188,1353570.075027389
189,365125.96056496655
190,2335979.024674306
191,1116814.2280497078
192,251221.8362342335
193,389136.5645269932
194,370704.86518096057
195,677238.4804746985
196,265809.52508628264
197,1342946.4199766833
198,331896.8477279021
199,573361.2619834392
200,1106363.454923774
201,310322.98149045446
202,634041.0478824466
203,1655379.3349313715
204,693299.7157571265
205,313884.5038220852
206,156943.36771186907
207,380691.4397244272
208,811012.015975356
209,1234704.3359327936
210,618354.8024690453
211,2111392.8036858076
212,567510.8883322434
213,588991.8048353447
214,1037590.2348526563
215,371606.694100962
216,312597.92616347753
217,901204.0568648493
218,516071.73254102876
219,349060.960091163
220,562408.7301658036
221,683272.4771496521
222,3781949.406951325
223,355397.6246970382
224,388337.09679154755
225,564370.82680129
226,378020.45784537436
227,641594.9435351675
228,3962754.7445505434
229,588678.7413527754
230,344822.2428810309
231,642500.8235876176
232,374978.32764154277
233,555400.7441107746
234,556210.9730191539
235,328662.8194789729
236,966691.9577365573
237,1331639.9889843524
238,1080090.3180945911
239,459498.83016617305
240,833426.2756909257
241,306218.72766270756
242,547941.9914665563
243,454365.47043916606
244,1070652.0012638115
245,380601.4368032473
246,615908.1754831254
247,585943.1956939343
248,489044.2242474021
249,623118.4928730654
250,2015063.4544274725
251,423299.5897259206
252,557009.9144617696
253,534144.3668345682
254,556182.3584987522
255,597161.5489123466
256,332076.8663750378
257,723292.1079704178
258,1725635.825798827
259,1060398.8714222778
260,472322.7616765797
261,636226.5749324845
262,299867.1135099568
263,862826.3992521745
264,338304.2661515149
265,419858.0993123281
266,344822.2428810309
267,672448.7598480206
268,406415.3438770392
269,1680149.2288962584
270,329393.3718080736
271,810120.684519807
272,687906.7098231211
273,475060.6103250083
274,481746.3937954416
275,109950.02174851035
276,460901.8611434063
277,1169589.9858489516
278,380979.85677342745
279,1007532.5690761007
280,307310.75259465136
281,922146.0280532835
282,437352.1811667244
283,350553.1679967578
284,972119.3439107741
285,3310416.2752760854
286,494039.90268556704
287,874389.0519783205
288,527589.0230072498
289,715436.586974955
290,834014.8646718943
291,519155.73564908805
292,610321.7423812906
293,496566.26536281203
294,3044564.269224373
295,488333.42765876674
296,535217.0369658758
297,840508.2357898676
298,450360.5383243412
299,675674.8423143424
300,1003320.5705376755
301,746210.4995675561
302,387574.3255421213
303,782100.9126330954
304,333045.45333672594
305,356302.66649266396
306,246806.03122307523
307,406668.8130661829
308,431383.02590951783
309,450485.82647049293
310,345330.1700446885
311,2898721.287529696
312,1282966.1284659454
313,464512.1076725169
314,314812.114359976
315,901953.0950400403
316,1237393.8582126345
317,1119352.8236629874
318,411809.62843278656
